from,to,weight
miR-943,CASK,1
miR-943,GRIK2,1
miR-2113,ADAM10,1
miR-2113,ADIPOR2,1
miR-2113,ADRB1,1
miR-2113,BCL9,1
miR-2113,CASK,1
miR-2113,DBN1,1
miR-2113,EBF1,1
miR-2113,EIF4G2,1
miR-2113,GRIK2,1
miR-2113,MAGI2,1
miR-2113,PIK3C2A,1
miR-2113,POLR1D,1
miR-2113,RELN,1
miR-2113,ROBO2,1
miR-2113,SHC1,1
miR-2113,TCF12,1
miR-2113,TOB1,1
miR-510-5p,MAF,1
miR-510-5p,PPP2R5E,1
miR-510-5p,SFRP2,1
miR-484,EIF4G2,1
miR-448,ACVR2A,1
miR-448,ADAM10,1
miR-448,BCL2,1
miR-448,GLCE,1
miR-448,GRIK2,1
miR-448,HEY2,1
miR-448,MEF2C,1
miR-448,RICTOR,3
miR-448,ROBO2,1
miR-448,ROCK1,1
miR-448,SP3,1
miR-448,VCL,1
miR-448,ZEB2,1
miR-1244,ACVR2A,1
miR-1244,ARHGEF3,1
miR-1244,BIRC6,1
miR-1244,COL12A1,1
miR-1244,EBF1,1
miR-1244,LOX,1
miR-1244,MAP3K2,1
miR-1244,MTOR,3
miR-1244,PIK3C2A,1
miR-1244,PPP2R5E,1
miR-1244,RHOA,1
miR-449b -3p,BCL2,1
miR-449b -3p,BMI1,1
miR-449b -3p,COL12A1,1
miR-449b -3p,CTNND1,1
miR-449b -3p,EIF4E,1
miR-449b -3p,GRIK2,1
miR-449b -3p,MEF2C,1
miR-449b -3p,RBPJ,1
miR-449b -3p,RELN,1
miR-449b -3p,STAT5B,1
miR-449b -3p,ZEB2,1
miR-218-5p,ACSL1,1
miR-218-5p,ACTN1,1
miR-218-5p,ADRB1,1
miR-218-5p,ARF6,1
miR-218-5p,ARID4B,1
miR-218-5p,BCL9,1
miR-218-5p,BIRC6,1
miR-218-5p,BMI1,1
miR-218-5p,DBN1,1
miR-218-5p,EBF1,1
miR-218-5p,GLCE,1
miR-218-5p,GRIK2,1
miR-218-5p,KALRN,1
miR-218-5p,LMO7,1
miR-218-5p,LOX,1
miR-218-5p,MAGI2,1
miR-218-5p,MAP3K2,1
miR-218-5p,MEF2C,1
miR-218-5p,PIK3C2A,1
miR-218-5p,RARA,1
miR-218-5p,RELN,1
miR-218-5p,ROBO2,1
miR-218-5p,SDC2,1
miR-218-5p,SFRP2,1
miR-218-5p,STXBP4,1
miR-218-5p,TCF12,1
miR-218-5p,TOB1,1
miR-218-5p,ZEB2,1
miR-656-3p,ADCYAP1,1
miR-656-3p,GRIK2,1
miR-656-3p,KALRN,1
miR-656-3p,LMO7,1
miR-656-3p,MAGI2,1
miR-656-3p,MEF2C,1
miR-656-3p,PHC3,1
miR-656-3p,RAB11A,1
miR-656-3p,RAP1A,1
miR-656-3p,RBPJ,1
miR-656-3p,RNF111,1
miR-656-3p,SMAD2,1
miR-656-3p,STXBP4,1
miR-656-3p,ZEB1,1
miR-103-2-5p,ACLY,1
miR-103-2-5p,ARHGEF3,1
miR-103-2-5p,BMI1,1
miR-103-2-5p,ITSN1,1
miR-103-2-5p,ROBO2,1
miR-103-2-5p,ROCK1,1
miR-103-2-5p,SMAD2,1
miR-103-2-5p,TRIM24,1
miR-507,ACTN1,1
miR-507,ADAM17,1
miR-507,EIF4G2,1
miR-507,GRIK2,1
miR-507,MAF,1
miR-507,MED13L,1
miR-507,MEIS1,1
miR-507,POLR1D,1
miR-507,SP3,1
miR-507,STAT5B,1
miR-298,ACPL2,1
miR-298,BMI1,1
miR-298,COL12A1,1
miR-298,CTNND1,1
miR-298,EIF4G2,1
miR-298,STAT3,1
miR-298,ZEB1,1
miR-612,ARF6,1
miR-612,CLDN11,1
miR-612,ITSN1,1
miR-612,TCF12,1
miR-22-5p,ACLY,1
miR-22-5p,ACPL2,1
miR-22-5p,BCAR1,1
miR-22-5p,CAV1,1
miR-22-5p,MAGI2,1
miR-22-5p,RAP1A,1
miR-22-5p,TRIM24,1
miR-636,ACSL1,1
miR-636,ACTN1,1
miR-636,ARF6,1
miR-636,ARID4B,1
miR-636,RAP1A,1
miR-636,RELN,1
miR-636,TOB1,1
miR-637,POLR1D,1
miR-1264,ADIPOR2,1
miR-1264,BIRC6,1
miR-1264,MAF,1
miR-1264,MYLIP,1
miR-1264,SMAD2,1
miR-1264,TCF7L2,1
miR-28-3p,ACSL4,1
miR-28-3p,ADAM17,1
miR-28-3p,ARF6,1
miR-28-3p,STXBP4,1
miR-222-5p,PPP2R5E,1
miR-222-5p,RNF111,1
miR-222-5p,SDC2,1
