id,type,color,weight
miR-943,miRNA,#FF5757,10.9
miR-2113,miRNA,#FF577E,17.3
CASK,mRNA,grey,8
GRIK2,mRNA,grey,8
ADAM10,mRNA,grey,8
ADIPOR2,mRNA,grey,8
ADRB1,mRNA,grey,8
BCL9,mRNA,grey,8
DBN1,mRNA,grey,8
EBF1,mRNA,grey,8
EIF4G2,mRNA,grey,8
MAGI2,mRNA,grey,8
PIK3C2A,mRNA,grey,8
POLR1D,mRNA,grey,8
RELN,mRNA,grey,8
ROBO2,mRNA,grey,8
SHC1,mRNA,grey,8
TCF12,mRNA,grey,8
TOB1,mRNA,grey,8
miR-510-5p,miRNA,#FF5795,11.3
MAF,mRNA,grey,8
PPP2R5E,mRNA,grey,8
SFRP2,mRNA,grey,8
miR-484,miRNA,#FF57AB,10.4
ACVR2A,mRNA,grey,8
BCL2,mRNA,grey,8
GLCE,mRNA,grey,8
HEY2,mRNA,grey,8
MEF2C,mRNA,grey,8
RICTOR,mRNA,indianred,8
ROCK1,mRNA,grey,8
SP3,mRNA,grey,8
VCL,mRNA,grey,8
ZEB2,mRNA,grey,8
ARHGEF3,mRNA,grey,8
BIRC6,mRNA,grey,8
COL12A1,mRNA,grey,8
LOX,mRNA,grey,8
MAP3K2,mRNA,grey,8
MTOR,mRNA,indianred,8
RHOA,mRNA,grey,8
miR-448,miRNA,#FF57C2,15.6
BMI1,mRNA,grey,8
CTNND1,mRNA,grey,8
EIF4E,mRNA,grey,8
RBPJ,mRNA,grey,8
STAT5B,mRNA,grey,8
ACSL1,mRNA,grey,8
ACTN1,mRNA,grey,8
ARF6,mRNA,grey,8
ARID4B,mRNA,grey,8
KALRN,mRNA,grey,8
LMO7,mRNA,grey,8
RARA,mRNA,grey,8
SDC2,mRNA,grey,8
STXBP4,mRNA,grey,8
ADCYAP1,mRNA,grey,8
PHC3,mRNA,grey,8
RAB11A,mRNA,grey,8
RAP1A,mRNA,grey,8
RNF111,mRNA,grey,8
SMAD2,mRNA,grey,8
ZEB1,mRNA,grey,8
ACLY,mRNA,grey,8
ITSN1,mRNA,grey,8
TRIM24,mRNA,grey,8
miR-507,miRNA,#FF57D9,14.3
miR-612,miRNA,#FF57FF,11.7
ADAM17,mRNA,grey,8
MED13L,mRNA,grey,8
MEIS1,mRNA,grey,8
miR-298,miRNA,#E957FF,13
miR-1244,miRNA,#C257FF,14.7
miR-449b -3p,miRNA,#AB57FF,14.7
ACPL2,mRNA,grey,8
STAT3,mRNA,grey,8
miR-218-5p,miRNA,#8457FF,22
miR-656-3p,miRNA,#6857FF,16
CLDN11,mRNA,grey,8
miR-22-5p,miRNA,#575CFF,13
BCAR1,mRNA,grey,8
CAV1,mRNA,grey,8
miR-636,miRNA,#576DFF,13
miR-103-2-5p,miRNA,#5784FF,13.4
miR-637,miRNA,#579AFF,10.4
miR-1264,miRNA,#57B1FF,12.6
MYLIP,mRNA,grey,8
TCF7L2,mRNA,grey,8
miR-28-3p,miRNA,#57CDFF,11.7
ACSL4,mRNA,grey,8
miR-222-5p,miRNA,#57E4FF,11.3
