id,type,color,weight
miR-943,miRNA,red,10
miR-2113,miRNA,orange,20
CASK,mRNA,grey,
GRIK2,mRNA,grey,
ADAM10,mRNA,grey,
ADIPOR2,mRNA,grey,
ADRB1,mRNA,grey,
BCL9,mRNA,grey,
DBN1,mRNA,grey,
EBF1,mRNA,grey,
EIF4G2,mRNA,grey,
MAGI2,mRNA,grey,
PIK3C2A,mRNA,grey,
POLR1D,mRNA,grey,
RELN,mRNA,grey,
ROBO2,mRNA,grey,
SHC1,mRNA,grey,
TCF12,mRNA,grey,
TOB1,mRNA,grey,
miR-510-5p,miRNA,yellow,12
MAF,mRNA,grey,
PPP2R5E,mRNA,grey,
SFRP2,mRNA,grey,
miR-484,miRNA,green,10
ACVR2A,mRNA,grey,
BCL2,mRNA,grey,
GLCE,mRNA,grey,
HEY2,mRNA,grey,
MEF2C,mRNA,grey,
RICTOR,mRNA,indianred,
ROCK1,mRNA,grey,
SP3,mRNA,grey,
VCL,mRNA,grey,
ZEB2,mRNA,grey,
ARHGEF3,mRNA,grey,
BIRC6,mRNA,grey,
COL12A1,mRNA,grey,
LOX,mRNA,grey,
MAP3K2,mRNA,grey,
MTOR,mRNA,indianred,
RHOA,mRNA,indianred,
miR-448,miRNA,turquoise,19
BMI1,mRNA,grey,
CTNND1,mRNA,grey,
EIF4E,mRNA,grey,
RBPJ,mRNA,grey,
STAT5B,mRNA,grey,
ACSL1,mRNA,grey,
ACTN1,mRNA,grey,
ARF6,mRNA,grey,
ARID4B,mRNA,grey,
KALRN,mRNA,grey,
LMO7,mRNA,grey,
RARA,mRNA,grey,
SDC2,mRNA,grey,
STXBP4,mRNA,grey,
ADCYAP1,mRNA,grey,
PHC3,mRNA,grey,
RAB11A,mRNA,grey,
RAP1A,mRNA,grey,
RNF111,mRNA,grey,
SMAD2,mRNA,grey,
ZEB1,mRNA,grey,
ACLY,mRNA,grey,
ITSN1,mRNA,grey,
TRIM24,mRNA,grey,
miR-507,miRNA,gold,17
miR-612,miRNA,lawngreen,13
ADAM17,mRNA,grey,
MED13L,mRNA,grey,
MEIS1,mRNA,grey,
miR-298,miRNA,pink2,15
miR-1244,miRNA,purple,18
miR-449b -3p,miRNA,cyan,18
ACPL2,mRNA,grey,
STAT3,mRNA,grey,
miR-218-5p,miRNA,yellowgreen,22
miR-656-3p,miRNA,seagreen,20
CLDN11,mRNA,grey,
miR-22-5p,miRNA,magenta,15
BCAR1,mRNA,grey,
CAV1,mRNA,grey,
miR-636,miRNA,maroon,15
miR-103-2-5p,miRNA,tan2,16
miR-637,miRNA,slateblue,10
miR-1264,miRNA,rosybrown,14
MYLIP,mRNA,grey,
TCF7L2,mRNA,grey,
miR-28-3p,miRNA,violet,13
ACSL4,mRNA,grey,
miR-222-5p,miRNA,skyblue,12
